source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Paper:mitra,Paper:regolith,COMPARES_WITH:9d4534d5bf61fb5e,COMPARES_WITH,Embedding/profile similarity=0.519; shared topics: ,mitra.pdf || regolith.pdf,0.519,mitra.pdf || regolith.pdf,,,
Document:doc_mitra_p16,Paper:mitra,REPORTED_IN:618bb6aae5dbcebe,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:d_fmax,Paper:mitra,REPORTED_IN:bbc10e05e71d7235,REPORTED_IN,reported in this paper,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,1.0,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,,,
Variable:psi_a,Paper:mitra,REPORTED_IN:c1dce45936dd04fc,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Instrument:sopat,Paper:mitra,REPORTED_IN:0dc6e877bd385ada,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:sopat_image_measurement,Paper:mitra,REPORTED_IN:94bc3a90e13d5b8d,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:sopat_image_measurement,Instrument:sopat,USES:06cee52185602a36,USES,The per-granule descriptor values are obtained from SOPAT images.,from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:sopat_image_measurement,Variable:d_fmax,MEASURES:3dbffd6d6cd91581,MEASURES,The SOPAT-image-based measurement yields maximum Feret diameter values.,represent the maximum Feret diameter ... from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:sopat_image_measurement,Variable:psi_a,MEASURES:1cb2e785c9465fbd,MEASURES,The SOPAT-image-based measurement yields aspect ratio values.,and aspect ratio ... from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:epcc,Paper:mitra,REPORTED_IN:285b16c3e8b969a3,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Concept:epcc,Document:doc_mitra_p16,REPORTED_IN:0cc95b53bf91a9ee,REPORTED_IN,The chunk introduces EPCC as the metric used to quantify linear correlation.,the empirical Pearson correlation coefficients (EPCC) were considered,0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:epcc,Equation:eq_epcc_9,DERIVED_FROM:87c344636bcfb582,DERIVED_FROM,EPCC is defined by Equation (9).,"EPCC(x,y) = ... , (9)",0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Paper:mitra,REPORTED_IN:3ad0b6d5cf827f7c,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Equation:eq_epcc_9,Variable:x_mean,MENTIONS:6b4daa66beb705b6,MENTIONS,Equation (9) specifies x as the mean of x values.,where x and y are the means of the x and y values,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:y_mean,MENTIONS:9b42261fe4c28390,MENTIONS,Equation (9) specifies y as the mean of y values.,where x and y are the means of the x and y values,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:x_i,MENTIONS:0d78fbb4477facce,MENTIONS,Equation (9) uses per-sample x_i values.,∑n i=1 (x_i − x),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Equation:eq_epcc_9,Variable:y_i,MENTIONS:43c3c6620a5a83d0,MENTIONS,Equation (9) uses per-sample y_i values.,∑n i=1 (y_i − y),0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:x_i,Paper:mitra,REPORTED_IN:b2948bb0144f5e3a,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:x_i,Variable:d_fmax,HAS_DESCRIPTOR:fb3d8b8dc36158e6,HAS_DESCRIPTOR,x_i corresponds to the maximum Feret diameter descriptor for the i-th granule.,x_i represent the maximum Feret diameter,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:y_i,Paper:mitra,REPORTED_IN:a1032f0d460120a3,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:y_i,Variable:psi_a,HAS_DESCRIPTOR:d8b8c76a67c0f91e,HAS_DESCRIPTOR,y_i corresponds to the aspect ratio descriptor for the i-th granule.,and aspect ratio of the i-th granule,0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Variable:x_mean,Paper:mitra,REPORTED_IN:7403f6b3b3ccf771,REPORTED_IN,reported in this paper,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:x_mean,Variable:xi,DERIVED_FROM:343e00ea8454f443,DERIVED_FROM,The mean x is defined as the mean of the x_i values.,"x and y are the means of the x i and y i values, respectively",0.85,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,chunk_1c86e251de2cb8bc,16,mitra.pdf
Variable:y_mean,Paper:mitra,REPORTED_IN:3b5a34c68e4bc0d9,REPORTED_IN,reported in this paper,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,1.0,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,,,
Variable:y_mean,Variable:yi,DERIVED_FROM:c376887d3c38f21c,DERIVED_FROM,The mean y is defined as the mean of the y_i values.,"x and y are the means of the x i and y i values, respectively",0.85,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,chunk_1c86e251de2cb8bc,16,mitra.pdf
Dataset:experiments_f_set,Paper:mitra,REPORTED_IN:43a183151cc28219,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_no_linear_corr,Paper:mitra,REPORTED_IN:f9f4c1ee6e8e2f58,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_no_linear_corr,Dataset:experiments_f_set,APPLIES_TO:ae65e31d65a1269a,APPLIES_TO,The near-zero EPCC result is reported for the listed experiments.,"For the experiments F1B2, F2B2, F3B2, F1B1, F1B3, and F1B4",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Concept:epcc,EVIDENCED_BY:1a07a3b686f3312b,EVIDENCED_BY,Little to no linear correlation is supported by EPCC values close to 0 and below 0.02.,"EPCC had values close to 0 (EPCC < 0.02), indicating little to no linear correlation",0.9,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Variable:d_fmax,MENTIONS:08514a25965ee60b,MENTIONS,The finding concerns maximum Feret diameter as one of the two descriptors.,the granule descriptors d_Fmax and Ψ_A,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Variable:psi_a,MENTIONS:1b1e57b5746cdfd2,MENTIONS,The finding concerns aspect ratio as one of the two descriptors.,the granule descriptors d_Fmax and Ψ_A,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_no_linear_corr,Limitation:lim_independence_assumption,SUPPORTS:2cd87cfb9e80da31,SUPPORTS,Near-zero EPCC values are used to justify treating the descriptors as independent (and neglecting dependency modeling).,"observed near-zero EPCC values suggest ... thus, for simplicity, any modeling of their dependency will be neglected",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Limitation:lim_independence_assumption,Paper:mitra,REPORTED_IN:d161b6ed19efa557,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Limitation:lim_independence_assumption,Variable:d_fmax,APPLIES_TO:cf9ea506e4c96b44,APPLIES_TO,Independence assumption applies to maximum Feret diameter in the joint modeling.,"maximum Feret diameter and aspect ratio, which are assumed to be independent random variables",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Limitation:lim_independence_assumption,Variable:psi_a,APPLIES_TO:8f967db590b60eda,APPLIES_TO,Independence assumption applies to aspect ratio in the joint modeling.,"maximum Feret diameter and aspect ratio, which are assumed to be independent random variables",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Finding:finding_neglect_dependency,Paper:mitra,REPORTED_IN:463ff20864cb211e,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Finding:finding_neglect_dependency,Finding:finding_no_linear_corr,DERIVED_FROM:2a063a88743a0881,DERIVED_FROM,The decision to neglect dependency modeling is based on the near-zero correlation observation.,"The observed near-zero EPCC values suggest ... and thus, for simplicity, any modeling of their dependency will be neglected",0.85,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:joint_bivariate_densities,Paper:mitra,REPORTED_IN:8b63397d5b3ac8de,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
