id,label,type,description,citations,pages,file_name,relevance,paper_stem
Paper:regolith,Statistical Analysis and Modeling of the 3D Morphology and Texture of Lunar Regolith Simulants,Document,"The paper uses 3D X-ray micro-CT data and multivariate statistical/parametric modeling to quantify size and shape descriptor distributions for lunar regolith particles and seven mare/highlands simulants, finding large morphological differences among simulants and versus lunar regolith and motivating improved simulants or statistically representative digital models for simulation-based studies of morphology-driven mechanical behavior relevant to ISRU. (regolith.pdf p.1, p.2)",regolith.pdf,,regolith.pdf,1.0,regolith
Chunk:chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,Chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,1.0,regolith
Document:regolith_p7_chunk_3b9026e63363ad14,regolith_p7_chunk_3b9026e63363ad14,Document,"PDF page text chunk discussing R-vine copulas, dataset construction from segmented particles, and limitations of univariate analysis for regolith simulants.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,1.0,regolith
Dataset:segmented_particles_data,segmented_particles_data,Dataset,Data containing all segmented particles used to compute particle descriptors for subsequent analysis.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.85,regolith
Descriptor:particle_descriptors,particle_descriptors,Descriptor,Computed descriptors of particles used to construct the analysis dataset. | Descriptors of particle shape and texture used for analysis and modeling.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14,"10,7",regolith.pdf,0.75,regolith
Material:regolith_simulants,regolith_simulants,Material,"Regolith simulants whose similarities and differences are analyzed statistically. | Regolith simulants that may differ in fines content, composition, and descriptor distributions. | Regolith simulants developed and assessed as potential representatives of lunar regolith. | Seven different regolith simulants from which particle image data were considered. | Terrestrial substitute materials used in experiments to approximate lunar regolith. | Considered regolith simulants compared via descriptors of shape and texture. | Regolith simulants contrasted with lunar regolith, with large reported differences. | Regolith simulants whose exemplary particles were measured via X-ray tomography.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835 || regolith.pdf p.3 page_text chunk_99780812c420d780 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,"10,13,2,3,7",regolith.pdf,0.7,regolith
Method:statistical_analysis_similarities,statistical_analysis_similarities,Method,Statistical analysis of similarities and differences of regolith simulants based on the computed dataset.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.7,regolith
Concept:r_vine_copulas,r_vine_copulas,Concept,A copula-based approach for parametrically modeling multivariate distributions in arbitrary dimensions with flexible correlation structure.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.8,regolith
Method:pair_copula_approach,pair_copula_approach,Method,"The approach underlying R-vine copulas, outlined for the case d=3. | An approach that can be iteratively applied to represent multivariate densities using lower-dimensional components.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,7,regolith.pdf,0.7,regolith
Variable:random_vector_x,random_vector_X,Variable,"Three-dimensional random vector X=(X1,X2,X3) with joint probability density and marginals. | Three-dimensional random vector X=(X1,X2,X3) for which a joint probability density f:R3→[0,∞) is computed.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,7,regolith.pdf,0.65,regolith
Variable:joint_density_f,joint_density_f,Variable,Joint probability density f of the random vector X on R^3.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,7,regolith.pdf,0.6,regolith
