source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Chunk:chunk_bb79271b66b555df,Paper:mitra,PART_OF:chunk_bb79271b66b555df,PART_OF,chunk belongs to paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Document:doc_mitra_p16,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:33e8b820fa43d306,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Document:doc_mitra_p16,Paper:mitra,REPORTED_IN:618bb6aae5dbcebe,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:d_fmax,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:ffe33b41ee9f7411,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:d_fmax,Paper:mitra,REPORTED_IN:bbc10e05e71d7235,REPORTED_IN,reported in this paper,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,1.0,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,,,
Variable:d_fmax,Chunk:chunk_9082cc6cb7d7ca45,EVIDENCED_BY:a0920c1678a4f3ad,EVIDENCED_BY,supported by chunk,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,1.0,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,,,
Variable:psi_a,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:b749cc93e67168ad,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Variable:psi_a,Paper:mitra,REPORTED_IN:c1dce45936dd04fc,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Instrument:sopat,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:620057ea3bace98e,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Instrument:sopat,Paper:mitra,REPORTED_IN:0dc6e877bd385ada,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:sopat_image_measurement,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:b360b6e4b166ad7a,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:sopat_image_measurement,Paper:mitra,REPORTED_IN:94bc3a90e13d5b8d,REPORTED_IN,reported in this paper,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
Method:sopat_image_measurement,Instrument:sopat,USES:06cee52185602a36,USES,The per-granule descriptor values are obtained from SOPAT images.,from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:sopat_image_measurement,Variable:d_fmax,MEASURES:3dbffd6d6cd91581,MEASURES,The SOPAT-image-based measurement yields maximum Feret diameter values.,represent the maximum Feret diameter ... from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Method:sopat_image_measurement,Variable:psi_a,MEASURES:1cb2e785c9465fbd,MEASURES,The SOPAT-image-based measurement yields aspect ratio values.,and aspect ratio ... from the SOPAT images,0.8,mitra.pdf p.16 page_text chunk_bb79271b66b555df,chunk_bb79271b66b555df,16,mitra.pdf
Concept:epcc,Chunk:chunk_bb79271b66b555df,EVIDENCED_BY:598385e5af8bea9b,EVIDENCED_BY,supported by chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,1.0,mitra.pdf p.16 page_text chunk_bb79271b66b555df,,,
