id,label,type,description,citations,file_name,paper_stem,pages,relevance
Paper:mitra,The Impact of the Feed Rate and the Binder Concentration on the Morphology of Spray-Dried Alumina–Polymer Nanocomposites,Document,"The paper studies spray-drying of nano-alumina with PVP-30 to form alumina–polymer granules and quantifies how feed rate and binder concentration influence granule size, morphology, and porosity. Droplet size/velocity (HiWatch), inline granule imaging (SOPAT), SEM, and mercury intrusion porosimetry are combined to link atomization and process settings to product structure. Higher feed rate increases droplet size/velocity and yields larger, more porous granules, while higher binder concentration makes granules more compact and reduces nano-pore volume, providing a basis for process optimization and model-based control.",mitra.pdf,mitra.pdf,mitra,,1.0
Document:doc_mitra_p16,doc_mitra_p16,Document,PDF chunk from Processes 2025 describing correlation analysis and predicted/fitted bivariate granule descriptor distributions.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,1.0
Variable:d_fmax,d_Fmax,Variable,Maximum Feret diameter descriptor used as a measure of granule size. | Symbol used for maximum Feret diameter.,mitra.pdf p.16 page_text chunk_bb79271b66b555df || mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,"16,8",0.9
Variable:psi_a,Psi_A,Variable,Aspect ratio descriptor used as a measure of granule shape.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.9
Instrument:sopat,SOPAT,Instrument,Imaging source used to obtain per-granule maximum Feret diameter and aspect ratio values.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.6
Method:sopat_image_measurement,sopat_image_measurement,Method,Measurement of maximum Feret diameter and aspect ratio from SOPAT images.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.7
Concept:epcc,EPCC,Concept,Empirical Pearson correlation coefficient used to quantify linear correlation between two descriptors.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.85
Equation:eq_epcc_9,eq_EPCC_9,Equation,"Equation defining EPCC(x,y) using sums over deviations from means.",mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.85
Variable:x_i,x_i,Variable,Per-granule variable representing the maximum Feret diameter of the i-th granule.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.7
Variable:y_i,y_i,Variable,Per-granule variable representing the aspect ratio of the i-th granule.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.7
Variable:x_mean,x_mean,Variable,Mean of x values used in the EPCC definition. | Variable x denoting the mean of the x_i values.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc || mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.5
Variable:y_mean,y_mean,Variable,Mean of y values used in the EPCC definition. | Variable y denoting the mean of the y_i values.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc || mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.5
Dataset:experiments_f_set,experiments_F_set,Dataset,"Set of experiments referenced for EPCC evaluation and fitted densities (F1B2, F2B2, F3B2, F1B1, F1B3, F1B4).",mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.65
Finding:finding_no_linear_corr,finding_no_linear_corr,Finding,EPCC values close to zero indicate little to no linear correlation between maximum Feret diameter and aspect ratio in the listed experiments.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.9
Limitation:lim_independence_assumption,lim_independence_assumption,Limitation,Maximum Feret diameter and aspect ratio are assumed to be independent random variables for joint density modeling.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.8
Finding:finding_neglect_dependency,finding_neglect_dependency,Finding,"Because size provides little information about shape, modeling of dependency between the descriptors is neglected for simplicity.",mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf,mitra,16,0.8
