source,target,key,type,description,evidence,confidence,citations,chunk_id,page,file_name
Chunk:chunk_3b9026e63363ad14,Paper:regolith,PART_OF:chunk_3b9026e63363ad14,PART_OF,chunk belongs to paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Document:regolith_p7_chunk_3b9026e63363ad14,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:875dd72f1838fbf9,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Document:regolith_p7_chunk_3b9026e63363ad14,Paper:regolith,REPORTED_IN:96979ed53993f737,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Dataset:segmented_particles_data,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:5c6be6448070a633,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Dataset:segmented_particles_data,Paper:regolith,REPORTED_IN:84c5c8fbd9792e5a,REPORTED_IN,reported in this paper,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Dataset:segmented_particles_data,Descriptor:particle_descriptors,USES:2c1524afae4c57c2,USES,The data of segmented particles is used by computing particle descriptors to obtain an analysis dataset.,By computing the particle descriptors,0.82,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Dataset:segmented_particles_data,Method:statistical_analysis_similarities,SUPPORTS:eb6222e63b6b30a4,SUPPORTS,The dataset obtained from segmented particles forms the basis for the subsequent statistical analysis of regolith simulants.,forms the basis for the following statistical analysis,0.86,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,chunk_3b9026e63363ad14,7,regolith.pdf
Descriptor:particle_descriptors,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:110cc16f514222c8,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Descriptor:particle_descriptors,Paper:regolith,REPORTED_IN:b2d2555f99c5e99a,REPORTED_IN,reported in this paper,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,1.0,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,,,
Descriptor:particle_descriptors,Chunk:chunk_2ca960600a9df8b8,EVIDENCED_BY:43901f18bfefa7f7,EVIDENCED_BY,supported by chunk,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,1.0,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,,,
Descriptor:particle_descriptors,Material:csm-lht-1,APPLIES_TO:3ccd4c552d80102f,APPLIES_TO,The particle descriptors referenced are those of CSM-LHT-1.,particle descriptors of CSM-LHT-1,0.9,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,chunk_2ca960600a9df8b8,10,regolith.pdf
Material:regolith_simulants,Chunk:chunk_3b9026e63363ad14,EVIDENCED_BY:7d9b4d56bd1cb2e0,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,1.0,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,,,
Material:regolith_simulants,Paper:regolith,REPORTED_IN:eb492606ae8097eb,REPORTED_IN,reported in this paper,regolith.pdf p.3 page_text chunk_99780812c420d780,1.0,regolith.pdf p.3 page_text chunk_99780812c420d780,,,
Material:regolith_simulants,Chunk:chunk_73c87c0131a065ed,EVIDENCED_BY:f81a58eee4942ff1,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,1.0,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,,,
Material:regolith_simulants,Material:fines,HAS_PROPERTY:9f8e39af1038deb3,HAS_PROPERTY,Regolith simulants may contain hugely different amounts of fines.,regolith simulants may contain hugely different amounts of fines,0.85,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,chunk_73c87c0131a065ed,7,regolith.pdf
Material:regolith_simulants,Chunk:chunk_44889c813b9be835,EVIDENCED_BY:bddd29bab1b5bc2a,EVIDENCED_BY,supported by chunk,regolith.pdf p.2 page_text chunk_44889c813b9be835,1.0,regolith.pdf p.2 page_text chunk_44889c813b9be835,,,
Material:regolith_simulants,Limitation:simulant_representativeness_unclear,LIMITED_BY:281329b98f92101a,LIMITED_BY,The representativeness of simulants for lunar regolith mechanical properties is stated as unclear.,it remains unclear whether regolith simulants are representative for lunar regolith with respect to their mechanical properties,0.9,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Limitation:predict_behavior_limitation,LIMITED_BY:8b488eb144c9453f,LIMITED_BY,The chunk claims simulants may be insufficient for predicting actual regolith mechanical behavior under lunar conditions.,regolith simulants may be insufficient to reliably predict the mechanical behavior of actual regolith under lunar conditions,0.9,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Concept:mare_regolith,APPLIES_TO:44e0aa04d2ce6d8f,APPLIES_TO,Some simulants represent mare regolith.,regolith simulants representing mare,0.8,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Concept:highlands_regolith,APPLIES_TO:cb0b88dafad9fb76,APPLIES_TO,Some simulants represent highlands regolith.,and highlands regolith,0.8,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Dataset:three_lunar_samples,COMPARES_WITH:7ee7d0a9fc5f1d7a,COMPARES_WITH,The chunk states simulants are compared to three different samples of lunar regolith.,we compare these simulants to three different samples of lunar regolith,0.9,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Finding:shape_investigation_necessity,SUPPORTS:40664bd84229e112,SUPPORTS,Comparisons involving simulants are said to highlight the necessity of thoroughly investigating lunar regolith particle shapes.,highlighting the necessity for a thorough investigation of the shapes of lunar regolith particles,0.8,regolith.pdf p.2 page_text chunk_44889c813b9be835,chunk_44889c813b9be835,2,regolith.pdf
Material:regolith_simulants,Chunk:chunk_5647a24ba128bfa1,EVIDENCED_BY:4b89279addbb5725,EVIDENCED_BY,supported by chunk,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,1.0,regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,,,
Material:regolith_simulants,Chunk:chunk_e99dbc4d11e11bdf,EVIDENCED_BY:9616d11369c6f15e,EVIDENCED_BY,supported by chunk,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,1.0,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,,,
Material:regolith_simulants,Material:lunar_regolith,COMPARES_WITH:5e113a3a9914316e,COMPARES_WITH,Regolith simulants are used as substitutes for lunar regolith in terrestrial experiments.,use regolith simulants as substitutes for lunar regolith,0.85,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,chunk_e99dbc4d11e11bdf,13,regolith.pdf
Material:regolith_simulants,Limitation:limitation_comparability_unclear,LIMITED_BY:f64b7148c3cab6c6,LIMITED_BY,Comparability of simulant mechanical properties to lunar regolith is uncertain.,it is unclear to what extent the mechanical properties of the simulants ... are comparable to those of lunar regolith,0.82,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,chunk_e99dbc4d11e11bdf,13,regolith.pdf
Material:regolith_simulants,Chunk:chunk_2ca960600a9df8b8,EVIDENCED_BY:7fd2181ad9e116ea,EVIDENCED_BY,supported by chunk,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,1.0,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,,,
Material:regolith_simulants,Chunk:chunk_384212dd00619739,EVIDENCED_BY:97f7a3454ea9af18,EVIDENCED_BY,supported by chunk,regolith.pdf p.13 page_text chunk_384212dd00619739,1.0,regolith.pdf p.13 page_text chunk_384212dd00619739,,,
