id,label,type,description,citations,pages,file_name,relevance,paper_stem
Paper:mitra,The Impact of the Feed Rate and the Binder Concentration on the Morphology of Spray-Dried Alumina–Polymer Nanocomposites,Document,"The paper studies spray-drying of nano-alumina with PVP-30 to form alumina–polymer granules and quantifies how feed rate and binder concentration influence granule size, morphology, and porosity. Droplet size/velocity (HiWatch), inline granule imaging (SOPAT), SEM, and mercury intrusion porosimetry are combined to link atomization and process settings to product structure. Higher feed rate increases droplet size/velocity and yields larger, more porous granules, while higher binder concentration makes granules more compact and reduces nano-pore volume, providing a basis for process optimization and model-based control.",mitra.pdf,,mitra.pdf,1.0,mitra
Chunk:chunk_bb79271b66b555df,chunk_bb79271b66b555df,Chunk,mitra.pdf p.16 page_text chunk_bb79271b66b555df,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,1.0,mitra
Document:doc_mitra_p16,doc_mitra_p16,Document,PDF chunk from Processes 2025 describing correlation analysis and predicted/fitted bivariate granule descriptor distributions.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,1.0,mitra
Variable:d_fmax,d_Fmax,Variable,Maximum Feret diameter descriptor used as a measure of granule size. | Symbol used for maximum Feret diameter.,mitra.pdf p.16 page_text chunk_bb79271b66b555df || mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,"16,8",mitra.pdf,0.9,mitra
Variable:psi_a,Psi_A,Variable,Aspect ratio descriptor used as a measure of granule shape.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.9,mitra
Instrument:sopat,SOPAT,Instrument,Imaging source used to obtain per-granule maximum Feret diameter and aspect ratio values.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.6,mitra
Method:sopat_image_measurement,sopat_image_measurement,Method,Measurement of maximum Feret diameter and aspect ratio from SOPAT images.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.7,mitra
Concept:epcc,EPCC,Concept,Empirical Pearson correlation coefficient used to quantify linear correlation between two descriptors.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.85,mitra
Equation:eq_epcc_9,eq_EPCC_9,Equation,"Equation defining EPCC(x,y) using sums over deviations from means.",mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.85,mitra
Variable:x_i,x_i,Variable,Per-granule variable representing the maximum Feret diameter of the i-th granule.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.7,mitra
Variable:y_i,y_i,Variable,Per-granule variable representing the aspect ratio of the i-th granule.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.7,mitra
Variable:x_mean,x_mean,Variable,Mean of x values used in the EPCC definition. | Variable x denoting the mean of the x_i values.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc || mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.5,mitra
Variable:y_mean,y_mean,Variable,Mean of y values used in the EPCC definition. | Variable y denoting the mean of the y_i values.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc || mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.5,mitra
Dataset:experiments_f_set,experiments_F_set,Dataset,"Set of experiments referenced for EPCC evaluation and fitted densities (F1B2, F2B2, F3B2, F1B1, F1B3, F1B4).",mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.65,mitra
Finding:finding_no_linear_corr,finding_no_linear_corr,Finding,EPCC values close to zero indicate little to no linear correlation between maximum Feret diameter and aspect ratio in the listed experiments.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.9,mitra
Limitation:lim_independence_assumption,lim_independence_assumption,Limitation,Maximum Feret diameter and aspect ratio are assumed to be independent random variables for joint density modeling.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.8,mitra
Finding:finding_neglect_dependency,finding_neglect_dependency,Finding,"Because size provides little information about shape, modeling of dependency between the descriptors is neglected for simplicity.",mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.8,mitra
Concept:joint_bivariate_densities,joint_bivariate_densities,Concept,Joint (bivariate) probability density distributions for maximum Feret diameter and aspect ratio.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.75,mitra
Method:fitted_parametric_densities,fitted_parametric_densities,Method,Fitting parametric probability densities to experiments and comparing with measured granule descriptors.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.7,mitra
Finding:finding_high_agreement,finding_high_agreement,Finding,Fitted parametric probability densities show high agreement with measured granule descriptors.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.7,mitra
Variable:feed_rate,feed_rate,Variable,"Process parameter representing the feed rate (e.g., 11 mL min−1, 12.5 mL min−1). | Feed rate is a process parameter investigated for its influence on the atomization process. | Feed rate used as the process parameter in the F series. | Process parameter used to compare effects on granule size distribution and shape uniformity.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37 || mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c || mitra.pdf p.16 page_text chunk_bb79271b66b555df || mitra.pdf p.9 page_text chunk_292a513b17ac9374,"10,15,16,9",mitra.pdf,0.7,mitra
Variable:binder_concentration,binder_concentration,Variable,"Process parameter representing binder concentration (e.g., 0.8 wt%, 2.4 wt%). | Binder concentration is a process parameter investigated for its influence on the atomization process. | Binder concentration used as the process parameter in the B series. | Process parameter used to compare effects on granule size distribution and shape uniformity.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37 || mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c || mitra.pdf p.16 page_text chunk_bb79271b66b555df || mitra.pdf p.9 page_text chunk_292a513b17ac9374,"10,15,16,9",mitra.pdf,0.7,mitra
Equation:theta_equals_g_of_z,theta_equals_g_of_z,Equation,Predicted model parameters expressed as a function of concentration z.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.6,mitra
Variable:z_concentration,z_concentration,Variable,"Concentration variable z considered over the range [0.8, 3.2].",mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.55,mitra
Equation:eq_7_8_ref,eq_7_8_ref,Equation,Referenced equations used (with predicted model parameters) to acquire predictions for probability densities of granule descriptors.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.45,mitra
Method:prob_density_prediction,prob_density_prediction,Method,Prediction of probability densities of granule descriptors by inserting predicted model parameters into referenced equations.,mitra.pdf p.16 page_text chunk_bb79271b66b555df,16,mitra.pdf,0.65,mitra
Chunk:chunk_895bf8c81d74ac37,chunk_895bf8c81d74ac37,Chunk,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,1.0,mitra
Document:doc_mitra_p10,doc_mitra_p10,Document,"PDF chunk from Processes 2025 describing likelihood-based parameter estimation, regression mapping from process parameters to distribution parameters, and droplet size/velocity analysis setup.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.7,mitra
Method:mle,mle,Method,Maximum likelihood estimation is used to determine optimal distribution parameter values by maximizing a likelihood function.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.95,mitra
Concept:likelihood_l,likelihood_L,Concept,The likelihood function L maps parameter vectors in Θ^n to real numbers and is maximized to estimate parameters.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.95,mitra
Equation:eq3_likelihood,eq3_likelihood,Equation,Equation (3) defines the likelihood as a product over i and x∈Ai of f_{θi}(x).,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.95,mitra
Equation:eq4_argmax,eq4_argmax,Equation,"Equation (4) defines (θ1*,…,θn*) as the argmax of L(θ1,…,θn) over Θ^n.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Finding:parametric_family_selection,parametric_family_selection,Finding,"When comparing multiple parametric families, the best fit is identified by the family yielding the highest maximized likelihood value.",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.85,mitra
Concept:prob_density_f,prob_density_f,Concept,A probability density f is modeled for a descriptor under consideration using parameters θ in Θ.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.8,mitra
Descriptor:descriptor_under_consideration,descriptor_under_consideration,Descriptor,A descriptor is the quantity whose probability density is predicted and modeled.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.6,mitra
Variable:process_parameter_z,process_parameter_z,Variable,z is a process parameter in R used to predict distribution parameters for cases with no acquired data. | Process parameter z used as regression input (feed rate in F series; binder concentration in B series).,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37 || mitra.pdf p.15 page_text chunk_07eaf63ef31d9e7c,"10,15",mitra.pdf,0.85,mitra
Method:regression_g,regression_g,Method,A parametric regression function g maps the process parameter z to a model parameter θ for the desired probability density.,mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
Variable:theta,theta,Variable,"θ is a model parameter in Θ of the probability density, defined as θ = g(z).",mitra.pdf p.10 page_text chunk_895bf8c81d74ac37,10,mitra.pdf,0.9,mitra
